workloadtype,workloadname,threads,records,operations,throughput,runtime (s)
load,workloada,800,10000000,0,19494.24140109012,512.972
load,workloada,600,10000000,0,19043.991620643686,525.1
load,workloada,5,1000,0,670.690811535882,1.491
load,workloada,100,10000000,0,0,0.0
load,workloada,500,10000000,0,19770.074038927276,505.815
load,workloada,1000,10000000,0,0,0.0
load,workloada,200,10000000,0,18632.86912645383,536.686
load,workloada,200,100000,0,11984.659635666347,8.344
load,workloada,20,1000,0,880.2816901408451,1.136
load,workloada,100,1000000,0,13367.554272270345,74.808
load,workloada,10,1000,0,838.9261744966443,1.192
load,workloada,10,10000000,0,0,0.0
