id,workers,iteration,workloadtype,workloadname,threads,records,operations,throughput,runtime (s)
,2,1,run,workloadf,300,10000,10000,2760.143527463428,3.623
,2,1,load,workloade,200,10000,0,3676.470588235294,2.72
,2,1,run,workloada,100,10000,10000,3052.5030525030525,3.276
,2,1,run,workloadf,200,10000,10000,2814.5229383619476,3.553
,2,1,run,workloadb,200,10000,10000,3943.217665615142,2.536
,2,1,run,workloadf,100,10000,10000,3207.184092366902,3.118
,2,1,run,workloada,300,10000,10000,3003.9050765995794,3.329
,2,1,run,workloada,200,10000,10000,2930.8323563892145,3.412
,2,1,run,workloadc,200,10000,100000,30478.51264858275,3.281
,2,1,run,workloade,200,10000,10000,2703.433360367667,3.699
,2,1,run,workloadd,100,10000,10000,4168.403501458941,2.399
,2,1,run,workloadc,100,10000,100000,29342.723004694835,3.408
,2,1,load,workloade,100,10000,0,3410.6412005457028,2.932
,2,1,run,workloade,300,10000,10000,2400.9603841536614,4.165
,2,1,load,workloade,300,10000,0,3400.2040122407343,2.941
,2,1,run,workloadb,100,10000,10000,4306.6322136089575,2.322
,2,1,run,workloadc,300,10000,100000,28677.946659019213,3.487
,2,1,run,workloadd,200,10000,10000,4585.052728106373,2.181
,2,1,run,workloadb,300,10000,10000,3865.4812524159256,2.587
,2,1,run,workloadd,300,10000,10000,4454.342984409799,2.245
,2,1,load,workloada,100,10000,0,3779.289493575208,2.646
,2,1,load,workloada,200,10000,0,3378.3783783783783,2.96
,2,1,load,workloada,300,10000,0,3462.6038781163434,2.888
,2,1,run,workloade,100,10000,10000,2588.661661920787,3.863
