id,workers,iteration,workloadtype,workloadname,threads,records,operations,throughput,runtime (s)
vvvlcmdbtereo7kgztkys75baea,5,0,load,workloada,800,10000000,0,65054.19014038694,153.718
vvvlcmdbtereo7kgztkys75baea,5,0,load,workloada,2500,10000000,0,104079.93338884263,96.08
vvvlcmdbtereo7kgztkys75baea,5,0,run,workloadc,3200,10000000,10000000,66892.31674849827,149.494
vvvlcmdbtereo7kgztkys75baea,5,0,run,workloadc,3000,10000000,10000000,89083.68521388993,112.254
vvvlcmdbtereo7kgztkys75baea,5,0,run,workloadc,2000,10000000,10000000,140821.2696445671,71.012
vvvlcmdbtereo7kgztkys75baea,5,0,load,workloada,3000,10000000,0,77473.73640335926,129.076
vvvlcmdbtereo7kgztkys75baea,5,0,load,workloada,2000,10000000,0,80211.11565640767,124.671
vvvlcmdbtereo7kgztkys75baea,5,0,load,workloada,3200,10000000,0,77650.00038825,128.783
vvvlcmdbtereo7kgztkys75baea,5,0,run,workloadc,800,10000000,10000000,181054.4611819235,55.232
vvvlcmdbtereo7kgztkys75baea,5,0,load,workloada,600,10000000,0,55968.16530757305,178.673
vvvlcmdbtereo7kgztkys75baea,5,0,run,workloadc,600,10000000,10000000,173982.63653287402,57.477
vvvlcmdbtereo7kgztkys75baea,5,1,run,workloadc,2000,10000000,10000000,131390.50572205652,76.109
vvvlcmdbtereo7kgztkys75baea,5,1,load,workloada,3000,10000000,0,66853.85746757589,149.58
vvvlcmdbtereo7kgztkys75baea,5,1,run,workloadc,600,10000000,10000000,180381.68765106966,55.438
vvvlcmdbtereo7kgztkys75baea,5,1,load,workloada,600,10000000,0,54202.598472570775,184.493
vvvlcmdbtereo7kgztkys75baea,5,1,load,workloada,800,10000000,0,63070.39286547716,158.553
vvvlcmdbtereo7kgztkys75baea,5,1,load,workloada,2500,10000000,0,88990.13989249991,112.372
vvvlcmdbtereo7kgztkys75baea,5,1,run,workloadc,3000,10000000,10000000,96205.64919572078,103.944
vvvlcmdbtereo7kgztkys75baea,5,1,run,workloadc,3200,10000000,10000000,84560.87537418188,118.258
vvvlcmdbtereo7kgztkys75baea,5,1,run,workloadc,2500,10000000,10000000,133239.17764779556,75.053
vvvlcmdbtereo7kgztkys75baea,5,1,run,workloadc,800,10000000,10000000,180349.15596595008,55.448
vvvlcmdbtereo7kgztkys75baea,5,1,load,workloada,3200,10000000,0,82515.05899826718,121.19
vvvlcmdbtereo7kgztkys75baea,5,1,load,workloada,2000,10000000,0,90914.87640122553,109.993
vvvlcmdbtereo7kgztkys75baea,5,2,run,workloadc,800,10000000,10000000,155156.6306186095,64.451
vvvlcmdbtereo7kgztkys75baea,5,2,load,workloada,2500,10000000,0,102198.2851127758,97.849
vvvlcmdbtereo7kgztkys75baea,5,2,load,workloada,3200,10000000,0,66218.5875575274,151.015
vvvlcmdbtereo7kgztkys75baea,5,2,load,workloada,800,10000000,0,64718.635731158785,154.515
vvvlcmdbtereo7kgztkys75baea,5,2,run,workloadc,3200,10000000,10000000,95771.68031413111,104.415
vvvlcmdbtereo7kgztkys75baea,5,2,load,workloada,2000,10000000,0,92969.63611684424,107.562
vvvlcmdbtereo7kgztkys75baea,5,2,run,workloadc,2000,10000000,10000000,59386.30195559093,168.389
vvvlcmdbtereo7kgztkys75baea,5,2,run,workloadc,2500,10000000,10000000,109750.2085253962,91.116
vvvlcmdbtereo7kgztkys75baea,5,2,run,workloadc,600,10000000,10000000,157569.64578343628,63.464
vvvlcmdbtereo7kgztkys75baea,5,2,run,workloadc,3000,10000000,10000000,126447.82762632138,79.084
vvvlcmdbtereo7kgztkys75baea,5,2,load,workloada,3000,10000000,0,95667.23110333018,104.529
vvvlcmdbtereo7kgztkys75baea,5,2,load,workloada,600,10000000,0,56011.42633097152,178.535
vvvlcmdbtereo7kgztkys75baea,5,3,load,workloada,600,10000000,0,57548.988576525764,173.765
vvvlcmdbtereo7kgztkys75baea,5,3,load,workloada,3200,10000000,0,75042.39895540981,133.258
vvvlcmdbtereo7kgztkys75baea,5,3,run,workloadc,600,10000000,10000000,172108.15276319638,58.103
vvvlcmdbtereo7kgztkys75baea,5,3,run,workloadc,800,10000000,10000000,170247.5399230481,58.738
vvvlcmdbtereo7kgztkys75baea,5,3,load,workloada,2500,10000000,0,83884.87639563464,119.211
vvvlcmdbtereo7kgztkys75baea,5,3,load,workloada,3000,10000000,0,71326.16743104543,140.201
vvvlcmdbtereo7kgztkys75baea,5,3,run,workloadc,3200,10000000,10000000,119395.85696376336,83.755
vvvlcmdbtereo7kgztkys75baea,5,3,run,workloadc,2000,10000000,10000000,132109.12213488342,75.695
vvvlcmdbtereo7kgztkys75baea,5,3,run,workloadc,2500,10000000,10000000,121143.10635153306,82.547
vvvlcmdbtereo7kgztkys75baea,5,3,load,workloada,2000,10000000,0,86718.9871222304,115.315
vvvlcmdbtereo7kgztkys75baea,5,3,load,workloada,800,10000000,0,67393.61917213678,148.382
vvvlcmdbtereo7kgztkys75baea,5,3,run,workloadc,3000,10000000,10000000,130635.27936354492,76.549
vvvlcmdbtereo7kgztkys75baea,5,4,run,workloadc,2500,10000000,10000000,93212.28165023023,107.282
vvvlcmdbtereo7kgztkys75baea,5,4,load,workloada,2500,10000000,0,101873.45279693564,98.161
